row_number,status,duplicate_of,date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
5529,duplicate_flagged,Same invoice number as an existing transaction,2021-12-08,79824.55,expense,Travel,Monthly office rent,Horizon Freight,,bank_transfer,REF2021707991,INV-2021-12210,12176.63,0.0,completed,
5530,duplicate_flagged,Same invoice number as an existing transaction,2023-03-02,403346.4,income,Other Income,Invoice payment received,,Retail Buyer,upi,REF2023635307,INV-2023-29992,43215.69,0.0,completed,
5531,imported,,2026-06-20,94528.97,expense,Travel,Monthly office rent,Reliable Electricals,,upi,REF2026771202,INV-2026-40511,0.0,0.0,completed,
5532,imported,,2025-09-16,419394.48,income,Other Income,Export order payment,,,credit_card,REF2025669483,INV-2025-57335,44935.12,0.0,completed,
5533,imported,,2026-05-30,48065.48,expense,Office Supplies,Employee salary disbursement,Metro Logistics,,bank_transfer,REF2026952858,INV-2026-47865,0.0,0.0,completed,
5534,imported,,2021-05-16,1583082.25,loan,Professional Fees,Loan disbursement received,,,upi,REF2021170325,INV-2021-56264,0.0,15830.82,completed,
5535,imported,,2024-05-30,31713.38,transfer,Travel,Petty cash transfer,,,cash,REF2024588719,INV-2024-93861,0.0,0.0,completed,
5536,duplicate_flagged,Same invoice number as an existing transaction,2021-06-30,11581.5,expense,Bank Charges,Repair and maintenance work,,,upi,REF2021449230,INV-2021-90123,0.0,0.0,completed,
5537,imported,,2022-03-31,103612.18,income,Service Revenue,Export order payment,,,cash,REF2022528626,INV-2022-12240,4047.35,0.0,completed,
5538,duplicate_flagged,Same invoice number as an existing transaction,2026-04-09,48316.63,expense,Bank Charges,Software subscription renewal,Horizon Freight,,cheque,REF2026358303,INV-2026-19253,0.0,0.0,completed,
5539,imported,,2025-10-28,26128.09,tax,Other Expense,TDS remittance to government,,,wallet,REF2025215268,INV-2025-66601,0.0,0.0,completed,
5540,imported,,2023-07-22,12539.25,expense,Bank Charges,Repair and maintenance work,Skyline Advertising,,cash,REF2023131028,INV-2023-80938,0.0,0.0,completed,
5541,imported,,2025-09-26,437223.8,income,Other Income,Retainer fee received,,Walk-in Customer,debit_card,REF2025767018,INV-2025-48184,17079.05,0.0,completed,
5542,imported,,2021-05-19,61651.81,expense,Office Supplies,Courier and freight charges,Reliable Electricals,,cheque,REF2021937590,INV-2021-27186,16440.48,0.0,completed,
5543,imported,,2024-08-01,99061.69,income,Service Revenue,Service contract payment,,Retail Buyer,cheque,REF2024926600,INV-2024-12820,15920.63,0.0,completed,
5544,imported,,2022-05-29,254014.47,investment,Bank Charges,Fixed deposit placement,,,credit_card,REF2022639469,INV-2022-51522,0.0,0.0,completed,
5545,imported,,2022-01-22,113475.09,tax,Bank Charges,GST liability payment,,,upi,REF2022320004,INV-2022-82085,0.0,0.0,completed,
5546,imported,,2021-06-28,673608.94,investment,Marketing,Equity purchase,,,upi,REF2021931637,INV-2021-51822,0.0,0.0,completed,
5547,imported,,2022-03-20,91422.29,expense,Utilities,Monthly office rent,,,bank_transfer,REF2022797832,INV-2022-63397,0.0,0.0,completed,
5548,imported,,2022-03-24,40766.25,income,Interest Income,Export order payment,,Retail Buyer,upi,REF2022446568,INV-2022-27915,1727.38,0.0,completed,
5549,imported,,2021-11-21,99502.81,expense,Office Supplies,Courier and freight charges,Skyline Advertising,,upi,REF2021985545,INV-2021-85294,0.0,0.0,completed,
5550,duplicate_flagged,Same invoice number as an existing transaction,2022-12-07,17291.47,tax,Other Expense,TDS remittance to government,,,debit_card,REF2022522761,INV-2022-19673,0.0,0.0,completed,
5551,imported,,2021-04-28,65859.16,expense,Other Expense,Electricity bill payment,,,bank_transfer,REF2021113299,INV-2021-11755,2940.14,0.0,completed,
5552,imported,,2026-01-26,120016.57,expense,Utilities,Business travel expense,Fusion IT Services,,cash,REF2026304885,INV-2026-58161,0.0,0.0,pending,
5553,imported,,2021-05-30,453335.07,investment,Marketing,Equity purchase,,,net_banking,REF2021421451,INV-2021-69832,0.0,0.0,pending,
5554,imported,,2022-08-07,93487.08,expense,Bank Charges,Software subscription renewal,Reliable Electricals,,upi,REF2022813847,INV-2022-97407,0.0,0.0,completed,
5555,imported,,2022-11-27,21926.68,expense,Rent,Software subscription renewal,Prime Stationery,,cheque,REF2022918320,INV-2022-71475,929.1,0.0,completed,
5556,imported,,2025-07-08,313546.33,income,Interest Income,Service contract payment,,,bank_transfer,REF2025240236,INV-2025-93579,0.0,0.0,completed,
5557,imported,,2026-03-02,72621.13,expense,Other Expense,Employee salary disbursement,Fusion IT Services,,upi,REF2026112187,INV-2026-89513,12449.34,0.0,completed,
5558,imported,,2024-06-09,101589.82,income,Other Income,Invoice payment received,,,bank_transfer,REF2024875291,INV-2024-14669,0.0,0.0,completed,
5559,imported,,2025-12-11,337805.95,income,Other Income,Client project milestone payment,,,debit_card,REF2025613406,INV-2025-64072,31669.31,0.0,completed,
5560,imported,,2026-01-31,82218.66,investment,Office Supplies,Equity purchase,,,wallet,REF2026298095,INV-2026-14510,0.0,0.0,completed,
5561,imported,,2022-02-17,59799.6,expense,Travel,Raw material purchase,Reliable Electricals,,bank_transfer,REF2022409179,INV-2022-74628,0.0,0.0,completed,
5562,imported,,2022-04-19,306469.22,income,Sales,Export order payment,,,upi,REF2022836270,INV-2022-81753,14593.77,0.0,completed,
5563,duplicate_flagged,Same invoice number as an existing transaction,2025-02-07,265383.32,income,Other Income,Export order payment,,,upi,REF2025585546,INV-2025-94721,37319.53,0.0,completed,
5564,imported,,2023-12-29,358638.47,income,Interest Income,Service contract payment,,Retail Buyer,credit_card,REF2023862653,INV-2023-43844,85100.65,0.0,completed,
5565,imported,,2022-06-16,21989.54,expense,Other Expense,Software subscription renewal,,,wallet,REF2022222104,INV-2022-76288,0.0,0.0,completed,
5566,imported,,2023-10-04,464564.89,income,Interest Income,Invoice payment received,,Retail Buyer,upi,REF2023274084,INV-2023-61187,20739.5,0.0,completed,
5567,imported,,2022-01-19,74851.27,expense,Office Supplies,Electricity bill payment,,,bank_transfer,REF2022375036,INV-2022-56638,0.0,0.0,completed,
5568,duplicate_flagged,Same reference number as an existing transaction,2025-10-23,26638.08,expense,Marketing,Courier and freight charges,Delta Security Services,,upi,REF2025367664,INV-2025-69099,2854.08,0.0,completed,
5569,duplicate_flagged,Same invoice number as an existing transaction,2024-08-09,52448.12,expense,Rent,Electricity bill payment,Delta Security Services,,cash,REF2024957330,INV-2024-20892,11473.03,0.0,completed,
5570,imported,,2025-02-28,46769.25,income,Other Income,Client project milestone payment,,,upi,REF2025826653,INV-2025-48794,5345.06,0.0,completed,
5571,duplicate_flagged,Same invoice number as an existing transaction,2022-05-15,43843.61,expense,Office Supplies,Employee salary disbursement,,,cheque,REF2022995686,INV-2022-25371,6688.01,0.0,completed,
5572,imported,,2024-11-27,137028.02,income,Sales,Retainer fee received,,Retail Buyer,cheque,REF2024688506,INV-2024-70895,29974.88,0.0,completed,
5573,imported,,2026-01-29,75223.81,transfer,Other Expense,Petty cash transfer,,,net_banking,REF2026432604,INV-2026-26286,0.0,0.0,completed,
5574,duplicate_flagged,Same invoice number as an existing transaction,2024-04-10,122060.19,expense,Professional Fees,Employee salary disbursement,,,cash,REF2024255875,INV-2024-69050,0.0,1220.6,completed,
5575,imported,,2022-01-08,258381.8,income,Sales,Export order payment,,Retail Buyer,upi,REF2022211256,INV-2022-23298,64595.45,0.0,completed,
5576,imported,,2025-04-25,345031.45,income,Sales,Invoice payment received,,Walk-in Customer,net_banking,REF2025234640,INV-2025-16093,0.0,0.0,completed,
5577,imported,,2021-12-22,291539.08,income,Sales,Export order payment,,Corporate Client,bank_transfer,REF2021154304,INV-2021-69174,49978.13,0.0,pending,
5578,imported,,2024-04-27,683182.3,loan,Other Expense,Loan disbursement received,,,net_banking,REF2024959393,INV-2024-78624,0.0,0.0,completed,
5579,duplicate_flagged,Same invoice number as an existing transaction,2026-04-21,139920.36,income,Other Income,Export order payment,,Retail Buyer,net_banking,REF2026405573,INV-2026-56404,6246.44,0.0,cancelled,
5580,imported,,2023-08-12,474222.41,income,Other Income,Service contract payment,,Walk-in Customer,bank_transfer,REF2023348949,INV-2023-24232,0.0,0.0,completed,
5581,duplicate_flagged,Same invoice number as an existing transaction,2022-02-04,19116.72,refund,Other Expense,Vendor refund received,,Retail Buyer,upi,REF2022214572,INV-2022-82455,0.0,0.0,cancelled,
5582,imported,,2023-02-28,2089.43,adjustment,Bank Charges,Rounding-off adjustment,,,upi,REF2023608383,INV-2023-18307,0.0,0.0,completed,
5583,imported,,2022-04-11,130573.86,tax,Bank Charges,TDS remittance to government,Skyline Advertising,,bank_transfer,REF2022291657,INV-2022-37001,0.0,0.0,completed,
5584,imported,,2022-01-03,177870.34,income,Service Revenue,Invoice payment received,,Walk-in Customer,bank_transfer,REF2022513495,INV-2022-33853,20328.04,0.0,pending,
5585,imported,,2025-04-29,253229.64,income,Interest Income,Invoice payment received,,Corporate Client,cheque,REF2025262483,INV-2025-64116,0.0,0.0,completed,
5586,imported,,2023-05-07,68323.58,expense,Salaries,Employee salary disbursement,CloudNet Hosting,,bank_transfer,REF2023134688,INV-2023-13215,0.0,0.0,completed,
5587,imported,,2024-09-08,104249.87,expense,Bank Charges,Employee salary disbursement,,,upi,REF2024949541,INV-2024-80728,0.0,0.0,completed,
5588,imported,,2023-01-14,259310.3,tax,Other Expense,TDS remittance to government,,,upi,REF2023726499,INV-2023-66776,0.0,0.0,completed,
5589,imported,,2022-11-12,87565.26,expense,Rent,Business travel expense,Delta Security Services,,bank_transfer,REF2022647586,INV-2022-26238,23350.74,0.0,completed,
5590,imported,,2026-01-14,95131.21,expense,Travel,Employee salary disbursement,CloudNet Hosting,,bank_transfer,REF2026435986,INV-2026-82938,0.0,0.0,completed,
5591,imported,,2021-10-07,450553.52,investment,Professional Fees,Equity purchase,,,upi,REF2021673552,INV-2021-57204,0.0,0.0,completed,
5592,imported,,2026-01-30,138713.85,income,Other Income,Export order payment,,Retail Buyer,upi,REF2026587189,INV-2026-29354,0.0,0.0,completed,
5593,imported,,2021-04-01,198336.33,salary,Salaries,Monthly salary payout,,,cheque,REF2021816846,INV-2021-47344,0.0,19833.63,pending,
5594,imported,,2024-03-11,171859.32,income,Interest Income,Invoice payment received,,,upi,REF2024256081,INV-2024-45468,19641.07,0.0,completed,
5595,duplicate_flagged,Same invoice number as an existing transaction,2025-08-02,103067.88,expense,Marketing,Vendor invoice settlement,Horizon Freight,,upi,REF2025780604,INV-2025-51763,0.0,0.0,completed,
5596,imported,,2026-03-22,629218.18,loan,Professional Fees,Loan disbursement received,Prime Stationery,,cheque,REF2026689345,INV-2026-24062,0.0,0.0,completed,
5597,imported,,2026-05-03,234.69,adjustment,Bank Charges,Accounting adjustment entry,,,debit_card,REF2026589874,INV-2026-13407,0.0,0.0,completed,
5598,imported,,2022-05-08,70227.34,expense,Rent,Electricity bill payment,Prime Stationery,,cash,REF2022497579,INV-2022-39794,16664.11,0.0,completed,
5599,imported,,2022-06-18,61315.02,expense,Professional Fees,Vendor invoice settlement,Fusion IT Services,,upi,REF2022847685,INV-2022-84963,2919.76,0.0,completed,
5600,duplicate_flagged,Same invoice number as an existing transaction,2024-04-04,392870.63,income,Interest Income,Client project milestone payment,,,bank_transfer,REF2024111836,INV-2024-48681,0.0,0.0,completed,
5601,imported,,2026-04-24,143172.37,income,Sales,Export order payment,,,cash,REF2026116134,INV-2026-73938,0.0,0.0,completed,
5602,imported,,2023-05-23,40612.29,expense,Utilities,Raw material purchase,Reliable Electricals,,upi,REF2023704586,INV-2023-40254,6195.1,0.0,completed,
5603,imported,,2021-05-01,334343.85,income,Other Income,Retainer fee received,,Walk-in Customer,upi,REF2021542421,INV-2021-45972,0.0,0.0,completed,
5604,imported,,2021-12-29,103029.31,expense,Bank Charges,Vendor invoice settlement,Prime Stationery,,debit_card,REF2021342999,INV-2021-49391,0.0,0.0,completed,
5605,imported,,2022-08-01,320214.26,income,Other Income,Retainer fee received,,Walk-in Customer,bank_transfer,REF2022124573,INV-2022-41609,45030.13,0.0,completed,
5606,duplicate_flagged,Same invoice number as an existing transaction,2024-08-29,15736.78,expense,Travel,Electricity bill payment,Delta Security Services,,upi,REF2024341865,INV-2024-40818,0.0,0.0,completed,
5607,imported,,2024-03-08,56521.48,income,Sales,Export order payment,,,upi,REF2024580812,INV-2024-29877,0.0,0.0,completed,
5608,duplicate_flagged,Same invoice number as an existing transaction,2022-06-02,93897.64,income,Other Income,Retainer fee received,,,credit_card,REF2022764700,INV-2022-16796,3978.71,0.0,completed,
5609,imported,,2024-09-02,315370.02,income,Service Revenue,Retainer fee received,,,upi,REF2024739875,INV-2024-91955,50684.47,0.0,completed,
5610,imported,,2023-12-24,229302.84,income,Service Revenue,Export order payment,,Retail Buyer,upi,REF2023635703,INV-2023-27541,0.0,0.0,completed,
5611,imported,,2024-05-15,17041.96,expense,Salaries,Repair and maintenance work,CloudNet Hosting,,upi,REF2024271146,INV-2024-43957,0.0,0.0,completed,
5612,imported,,2026-05-17,48457.42,expense,Travel,Monthly office rent,Metro Logistics,,cash,REF2026249585,INV-2026-44066,2053.28,0.0,completed,
5613,imported,,2026-02-11,145921.19,income,Sales,Client project milestone payment,,,cash,REF2026712198,INV-2026-59073,5700.05,0.0,completed,
5614,imported,,2026-06-23,12116.47,expense,Salaries,Repair and maintenance work,Reliable Electricals,,upi,REF2026585325,INV-2026-34398,0.0,121.16,completed,
5615,imported,,2023-12-22,63761.51,income,Service Revenue,Retainer fee received,,Corporate Client,debit_card,REF2023726823,INV-2023-86015,0.0,0.0,completed,
5616,imported,,2025-10-30,655.27,adjustment,Salaries,Rounding-off adjustment,,,credit_card,REF2025330246,INV-2025-55098,0.0,0.0,pending,
5617,imported,,2022-03-11,153965.67,income,Other Income,Client project milestone payment,,,net_banking,REF2022421520,INV-2022-61959,0.0,0.0,pending,
5618,imported,,2025-05-18,40295.83,income,Other Income,Service contract payment,,,cash,REF2025156886,INV-2025-37346,10745.55,0.0,completed,
5619,imported,,2023-10-25,76900.26,expense,Professional Fees,Business travel expense,,,cash,REF2023594189,INV-2023-90901,0.0,1538.01,completed,
5620,imported,,2023-02-04,243122.92,tax,Bank Charges,TDS remittance to government,Apex Office Supplies,,upi,REF2023315940,INV-2023-51475,0.0,0.0,completed,
5621,duplicate_flagged,Same invoice number as an existing transaction,2022-09-14,466285.93,income,Sales,Client project milestone payment,,,cheque,REF2022354173,INV-2022-79977,0.0,0.0,completed,
5622,imported,,2024-12-12,148143.13,expense,Utilities,Electricity bill payment,Reliable Electricals,,cash,REF2024829064,INV-2024-98295,13888.42,0.0,completed,
5623,imported,,2022-04-17,403839.07,income,Interest Income,Invoice payment received,,,upi,REF2022978390,INV-2022-23788,0.0,0.0,completed,
5624,duplicate_flagged,Same invoice number as an existing transaction,2021-05-23,68728.76,tax,Other Expense,TDS remittance to government,,,upi,REF2021789391,INV-2021-62457,0.0,0.0,completed,
5625,imported,,2025-12-21,137253.55,expense,Rent,Vendor invoice settlement,Horizon Freight,,cash,REF2025254231,INV-2025-19165,5361.47,0.0,completed,
5626,imported,,2024-03-17,161292.03,income,Sales,Invoice payment received,,,cheque,REF2024172529,INV-2024-97595,0.0,0.0,completed,
5627,imported,,2023-04-24,4715.68,adjustment,Marketing,Accounting adjustment entry,,,credit_card,REF2023504581,INV-2023-79058,0.0,0.0,completed,
5628,duplicate_flagged,Same invoice number as an existing transaction,2022-04-12,302543.14,income,Sales,Retainer fee received,,Walk-in Customer,debit_card,REF2022371782,INV-2022-86658,32415.34,0.0,completed,
5629,imported,,2026-03-31,213472.97,tax,Bank Charges,Advance tax payment,,,cheque,REF2026550030,INV-2026-31800,0.0,0.0,completed,
5630,imported,,2021-10-11,423506.93,investment,Utilities,Equity purchase,,,debit_card,REF2021565391,INV-2021-98340,0.0,0.0,cancelled,
5631,duplicate_flagged,Same invoice number as an existing transaction,2022-01-02,339319.13,income,Sales,Retainer fee received,,Walk-in Customer,upi,REF2022345112,INV-2022-61904,0.0,0.0,completed,
5632,imported,,2025-03-23,40520.73,expense,Professional Fees,Vendor invoice settlement,,,bank_transfer,REF2025575362,INV-2025-65374,9615.09,0.0,completed,
5633,imported,,2023-05-26,6557.24,other,Marketing,Miscellaneous transaction,,,bank_transfer,REF2023556558,INV-2023-48362,0.0,0.0,completed,Ref#2026/Q1 <urgent>
5634,imported,,2021-04-03,55467.28,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2021687485,INV-2021-33908,0.0,1109.35,completed,
5635,duplicate_flagged,Same invoice number as an existing transaction,2022-05-18,58049.87,expense,Travel,Raw material purchase,Fusion IT Services,,net_banking,REF2022310115,INV-2022-13060,0.0,0.0,completed,
5636,imported,,2025-06-13,43178.68,expense,Travel,Courier and freight charges,Fusion IT Services,,bank_transfer,REF2025526333,INV-2025-49504,11514.31,0.0,completed,
5637,duplicate_flagged,Same invoice number as an existing transaction,2021-07-13,11259.84,income,Service Revenue,Retainer fee received,,Retail Buyer,net_banking,REF2021651278,INV-2021-75980,0.0,0.0,completed,
5638,duplicate_flagged,Same reference number as an existing transaction,2026-02-27,6386.17,expense,Travel,Courier and freight charges,,,credit_card,REF2026954084,INV-2026-32471,285.1,0.0,completed,
5639,imported,,2021-07-17,16877.54,salary,Salaries,Staff salary - payroll run,,,bank_transfer,REF2021103850,INV-2021-53119,0.0,0.0,cancelled,
5640,imported,,2025-04-21,218959.07,income,Interest Income,Export order payment,,Walk-in Customer,wallet,REF2025738842,INV-2025-59365,0.0,0.0,completed,
5641,imported,,2025-09-16,51371.02,tax,Other Expense,GST liability payment,Delta Security Services,,wallet,REF2025949159,INV-2025-69482,0.0,0.0,completed,
5642,imported,,2026-03-23,19178.2,transfer,Marketing,Inter-account fund transfer,,,upi,REF2026596710,INV-2026-26415,0.0,0.0,pending,
5643,imported,,2025-01-06,60520.26,expense,Marketing,Monthly office rent,,,bank_transfer,REF2025579915,INV-2025-87802,2881.92,0.0,completed,
5644,imported,,2023-04-07,9711.16,expense,Travel,Vendor invoice settlement,,,net_banking,REF2023614049,INV-2023-40812,462.44,0.0,completed,
5645,imported,,2026-01-15,1951425.91,loan,Bank Charges,Loan disbursement received,,,bank_transfer,REF2026897825,INV-2026-16753,0.0,0.0,completed,
5646,duplicate_flagged,Same invoice number as an existing transaction,2025-07-06,35342.39,expense,Utilities,Software subscription renewal,,,bank_transfer,REF2025961790,INV-2025-27445,0.0,0.0,completed,
5647,imported,,2022-03-31,141241.75,expense,Utilities,Vendor invoice settlement,CloudNet Hosting,,upi,REF2022521336,INV-2022-14845,35310.44,0.0,pending,
5648,imported,,2024-10-14,4184.81,refund,Travel,Vendor refund received,,Walk-in Customer,cash,REF2024256340,INV-2024-37299,0.0,0.0,completed,
5649,imported,,2025-07-25,169247.85,income,Other Income,Client project milestone payment,,,net_banking,REF2025250649,INV-2025-67466,0.0,0.0,completed,
5650,imported,,2022-11-18,72114.46,expense,Bank Charges,Monthly office rent,Fusion IT Services,,upi,REF2022593658,INV-2022-40633,0.0,0.0,completed,
5651,imported,,2021-06-21,60708.68,income,Service Revenue,Export order payment,,Walk-in Customer,debit_card,REF2021966512,INV-2021-30488,0.0,0.0,completed,
5652,duplicate_flagged,Same invoice number as an existing transaction,2025-09-21,40363.16,expense,Travel,Software subscription renewal,Horizon Freight,,credit_card,REF2025215710,INV-2025-57241,6919.4,0.0,completed,
5653,imported,,2022-09-16,462505.65,income,Service Revenue,Service contract payment,,Retail Buyer,upi,REF2022190139,INV-2022-85383,0.0,0.0,completed,
5654,duplicate_flagged,Same invoice number as an existing transaction,2024-04-28,52639.3,expense,Office Supplies,Software subscription renewal,,,upi,REF2024333834,INV-2024-18072,8029.72,0.0,cancelled,
5655,duplicate_flagged,Same invoice number as an existing transaction,2026-03-15,147402.97,expense,Marketing,Vendor invoice settlement,,,cash,REF2026116601,INV-2026-10404,0.0,0.0,completed,வணிக பரிவர்த்தனை
5656,imported,,2024-06-06,147797.03,tax,Bank Charges,Advance tax payment,,,credit_card,REF2024534720,INV-2024-70793,0.0,0.0,completed,
5657,imported,,2021-10-22,152489.23,salary,Salaries,Monthly salary payout,,,cash,REF2021189560,INV-2021-40487,0.0,3049.78,completed,
5658,duplicate_flagged,Same invoice number as an existing transaction,2025-02-08,106385.87,salary,Salaries,Staff salary - payroll run,,,upi,REF2025372047,INV-2025-51763,0.0,0.0,completed,
5659,imported,,2022-12-30,441719.31,income,Service Revenue,Client project milestone payment,,Corporate Client,upi,REF2022184715,INV-2022-61832,0.0,0.0,completed,
5660,imported,,2024-10-25,49034.84,transfer,Travel,Petty cash transfer,,,credit_card,REF2024823636,INV-2024-80443,0.0,0.0,completed,
5661,imported,,2026-04-24,123876.36,salary,Salaries,Monthly salary payout,,,cheque,REF2026831702,INV-2026-17105,0.0,0.0,completed,Ref#2026/Q1 <urgent>
5662,imported,,2023-10-29,10646.17,expense,Office Supplies,Electricity bill payment,,,bank_transfer,REF2023656594,INV-2023-20150,1623.99,0.0,completed,
5663,imported,,2026-01-11,23401.91,expense,Utilities,Monthly office rent,Reliable Electricals,,upi,REF2026349136,INV-2026-45674,0.0,0.0,completed,
5664,imported,,2025-04-07,109323.6,expense,Other Expense,Courier and freight charges,,,bank_transfer,REF2025155391,INV-2025-64638,15373.63,0.0,completed,
5665,imported,,2025-01-14,27909.65,expense,Professional Fees,Raw material purchase,,,cash,REF2025783863,INV-2025-62461,6977.41,0.0,completed,
5666,imported,,2023-05-13,287220.41,income,Service Revenue,Client project milestone payment,,Retail Buyer,bank_transfer,REF2023972089,INV-2023-17099,0.0,0.0,completed,
5667,imported,,2025-05-29,84443.73,expense,Other Expense,Courier and freight charges,Horizon Freight,,bank_transfer,REF2025301026,INV-2025-30261,22518.33,0.0,completed,
5668,imported,,2024-08-23,231995.81,income,Service Revenue,Client project milestone payment,,Corporate Client,upi,REF2024217911,INV-2024-41344,21749.61,0.0,completed,
5669,duplicate_flagged,Same invoice number as an existing transaction,2025-03-28,27259.48,expense,Office Supplies,Monthly office rent,Apex Office Supplies,,upi,REF2025885962,INV-2025-98885,5963.01,0.0,cancelled,
5670,imported,,2026-05-23,75095.76,expense,Bank Charges,Courier and freight charges,,,bank_transfer,REF2026327080,INV-2026-78126,0.0,0.0,completed,
5671,imported,,2021-06-28,331847.76,income,Other Income,Invoice payment received,,,net_banking,REF2021940212,INV-2021-62988,53332.68,0.0,completed,
5672,imported,,2023-06-03,304178.35,income,Sales,Invoice payment received,,,bank_transfer,REF2023440153,INV-2023-41982,12888.91,0.0,completed,
5673,imported,,2021-08-12,1510584.71,loan,Utilities,Business loan EMI,,,upi,REF2021751063,INV-2021-39097,0.0,0.0,completed,
5674,imported,,2025-12-15,285039.87,tax,Bank Charges,GST liability payment,,,net_banking,REF2025622170,INV-2025-48612,0.0,0.0,completed,
5675,duplicate_flagged,Same invoice number as an existing transaction,2025-12-31,113665.48,expense,Marketing,Vendor invoice settlement,,,net_banking,REF2025239282,INV-2025-76829,0.0,0.0,completed,
5676,imported,,2022-02-05,48114.94,transfer,Office Supplies,Inter-account fund transfer,,,wallet,REF2022317051,INV-2022-86844,0.0,0.0,completed,
5677,duplicate_flagged,Same invoice number as an existing transaction,2024-01-21,75482.55,transfer,Professional Fees,Inter-account fund transfer,,,debit_card,REF2024370520,INV-2024-37962,0.0,0.0,completed,
5678,imported,,2025-03-09,35557.47,expense,Rent,Monthly office rent,Apex Office Supplies,,wallet,REF2025438644,INV-2025-76649,7778.2,0.0,completed,
5679,imported,,2025-12-09,47538.66,expense,Bank Charges,Courier and freight charges,Metro Logistics,,bank_transfer,REF2025674141,INV-2025-80302,0.0,0.0,completed,
5680,duplicate_flagged,Same invoice number as an existing transaction,2024-12-31,348548.2,income,Sales,Client project milestone payment,,,cash,REF2024697738,INV-2024-51301,0.0,0.0,completed,
5681,duplicate_flagged,Same invoice number as an existing transaction,2025-05-23,37312.46,expense,Salaries,Business travel expense,,,bank_transfer,REF2025443325,INV-2025-12505,0.0,0.0,completed,
5682,imported,,2022-02-23,74928.11,salary,Salaries,Staff salary - payroll run,,,cheque,REF2022378682,INV-2022-75405,0.0,749.28,completed,
5683,duplicate_flagged,Same invoice number as an existing transaction,2024-11-06,194110.67,salary,Salaries,Staff salary - payroll run,,,cheque,REF2024949948,INV-2024-73280,0.0,3882.21,completed,
5684,imported,,2021-11-12,22285.39,expense,Office Supplies,Monthly office rent,,,cash,REF2021208165,INV-2021-79134,2089.26,0.0,completed,
5685,imported,,2023-02-19,46310.37,expense,Professional Fees,Software subscription renewal,,,bank_transfer,REF2023208973,INV-2023-53818,4341.6,2315.52,completed,
5686,imported,,2024-11-27,83340.21,expense,Utilities,Electricity bill payment,,,upi,REF2024909652,INV-2024-77463,3968.58,0.0,completed,
5687,imported,,2025-04-29,46335.04,expense,Utilities,Monthly office rent,,,bank_transfer,REF2025206700,INV-2025-65005,0.0,0.0,completed,
5688,imported,,2025-05-13,59660.12,expense,Salaries,Business travel expense,,,net_banking,REF2025473845,INV-2025-23245,0.0,2983.01,completed,
5689,imported,,2022-02-19,43695.47,expense,Professional Fees,Raw material purchase,Reliable Electricals,,bank_transfer,REF2022660424,INV-2022-43200,7490.65,436.95,completed,
5690,imported,,2022-12-09,13523.71,other,Professional Fees,Miscellaneous transaction,,,credit_card,REF2022598833,INV-2022-70069,0.0,270.47,completed,
5691,imported,,2023-09-18,898348.26,loan,Marketing,Business loan EMI,,,cash,REF2023795698,INV-2023-68041,0.0,0.0,completed,
5692,duplicate_flagged,Same invoice number as an existing transaction,2023-05-25,196280.24,salary,Salaries,Monthly salary payout,,,upi,REF2023566183,INV-2023-22079,0.0,9814.01,completed,
5693,imported,,2025-07-12,83907.62,expense,Utilities,Courier and freight charges,,,upi,REF2025702314,INV-2025-95244,0.0,0.0,completed,
5694,imported,,2023-10-17,636567.91,investment,Bank Charges,Fixed deposit placement,,,upi,REF2023471573,INV-2023-22947,0.0,0.0,completed,
5695,imported,,2023-11-23,11045.4,expense,Salaries,Software subscription renewal,,,net_banking,REF2023699567,INV-2023-43018,0.0,0.0,completed,
5696,imported,,2022-09-15,136353.51,expense,Salaries,Business travel expense,,,upi,REF2022386877,INV-2022-21108,0.0,0.0,pending,
5697,imported,,2024-04-17,74980.27,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2024493500,INV-2024-85153,0.0,0.0,completed,
5698,imported,,2022-12-21,15996.96,salary,Salaries,Staff salary - payroll run,,,cash,REF2022457051,INV-2022-58569,0.0,159.97,completed,Zahlung erhalten
5699,imported,,2026-01-08,72167.01,expense,Bank Charges,Repair and maintenance work,,,net_banking,REF2026239024,INV-2026-40430,0.0,0.0,completed,
5700,imported,,2025-11-30,435189.63,income,Interest Income,Service contract payment,,Retail Buyer,bank_transfer,REF2025554921,INV-2025-43190,0.0,0.0,completed,
5701,imported,,2023-11-22,45402.72,income,Other Income,Invoice payment received,,,upi,REF2023940469,INV-2023-43274,6384.76,0.0,completed,
5702,imported,,2024-12-07,65545.07,transfer,Office Supplies,Inter-account fund transfer,,,upi,REF2024118209,INV-2024-82947,0.0,0.0,completed,
5703,imported,,2025-04-14,149843.08,expense,Rent,Employee salary disbursement,Fusion IT Services,,upi,REF2025801758,INV-2025-71757,39958.15,0.0,pending,
5704,imported,,2023-04-21,56088.51,salary,Salaries,Staff salary - payroll run,,,credit_card,REF2023133045,INV-2023-95834,0.0,560.89,completed,
5705,imported,,2025-05-26,47068.1,income,Service Revenue,Service contract payment,,Walk-in Customer,cash,REF2025663522,INV-2025-25916,0.0,0.0,completed,
5706,imported,,2024-04-11,196511.88,salary,Salaries,Staff salary - payroll run,,,cheque,REF2024840967,INV-2024-56110,0.0,3930.24,completed,
